id,status,residence,work
4690,1,457,328
4693,7,458,0
4716,7,583,0
4717,1,411,460
4718,1,477,29
4747,6,568,468
4757,1,458,319
4766,1,458,283
4769,7,411,0
4772,7,550,0
4774,7,547,0
4779,6,411,539
4782,1,529,12
4784,1,547,593
4793,7,582,0
4796,4,582,388
4797,6,404,0
4801,99,528,0
4811,1,476,456
4813,1,458,351
4814,7,595,0
4818,1,582,593
4829,6,529,0
4840,6,457,368
4845,1,496,291
4846,6,439,396
4868,1,569,379
4873,7,529,0
4892,1,495,196
4903,1,477,335
4907,6,458,407
4925,7,474,0
4938,7,458,0
4946,1,439,459
4959,1,457,188
4971,1,476,51
4972,7,567,0
4974,1,604,564
4985,4,439,166
4994,1,477,171
5009,99,604,0
5020,6,547,0
5028,1,548,85
5044,7,548,0
5081,1,567,79
5085,1,457,137
5095,1,423,226
5099,1,568,101
5105,1,568,282
5116,99,595,0
5129,1,550,459
5151,1,439,401
5164,7,529,0
5165,7,439,0
5166,7,496,0
5171,1,477,463
5177,99,529,0
5178,1,474,316
5181,7,438,0
5183,7,412,0
5185,1,457,141
5205,7,595,0
5213,1,594,257
5215,6,458,0
5228,6,604,273
5230,1,549,334
5241,1,548,550
5259,1,474,226
5277,1,458,384
5279,7,566,0
5287,7,549,0
5299,6,568,547
5321,7,454,0
5323,1,458,397
5335,1,548,547
5337,1,511,375
5342,7,582,0
5345,6,529,416
5359,6,423,0
5361,1,569,137
5367,7,436,0
5368,6,568,473
5376,99,549,0
5382,7,547,0
5384,1,595,279
5388,1,550,572
5391,6,606,403
5403,6,548,0
5408,7,411,0
5450,1,528,241
5454,1,411,419
5473,6,474,170
5474,1,582,595
5496,1,404,395
5498,4,495,166
5504,1,568,582
5517,7,606,0
5526,1,594,409
5565,1,439,459
5568,6,511,416
5569,1,457,409
5592,7,477,0
5638,7,548,0
5643,1,423,301
5644,7,458,0
5647,1,568,413
5649,1,403,233
5659,7,439,0
5666,6,496,0
5669,6,458,370
5671,1,582,146
5679,1,567,603
5681,6,497,341
5684,1,458,583
5707,1,606,16
5708,6,582,569
5714,6,439,133
5715,6,476,0
5722,7,511,0
5726,1,423,52
5728,1,477,440
5752,1,413,233
5759,1,439,120
5769,7,458,0
5778,1,594,415
5798,1,439,100
5805,6,606,204
5813,99,477,0
5828,1,477,299
5843,1,604,157
5849,1,582,50
5864,1,439,442
5874,7,495,0
5883,6,568,409
5889,1,568,500
5894,6,568,7
5926,6,547,296
5953,1,593,337
5972,7,529,0
5980,7,496,0
5986,1,595,410
5999,1,442,407
6007,7,457,0
6017,4,529,166
6018,7,457,0
6035,6,528,0
6062,1,411,271
6065,6,529,534
6087,1,458,586
6092,6,458,36
6100,1,605,597
6103,6,529,429
6110,7,496,0
6114,7,566,0
6137,6,582,490
6149,6,549,151
6153,1,568,476
6164,1,568,392
6166,6,457,0
6175,1,582,468
6180,6,549,0
6186,1,567,142
6203,99,474,0
6218,6,568,0
6219,6,528,0
6243,7,458,0
6262,6,529,104
6270,7,458,0
6301,99,529,0
6303,1,582,156
6306,6,405,0
6320,6,582,0
6322,1,497,419
6325,1,476,514
6338,1,404,391
6345,7,439,0
6347,7,583,0
6363,99,569,0
6366,1,404,392
6371,7,403,0
6385,7,567,0
6388,4,439,166
6419,6,582,372
6457,1,550,570
6471,7,404,0
6488,7,422,0
6504,6,547,395
6532,6,497,0
6544,1,438,532
6552,1,439,388
6577,1,496,435
6582,7,457,0
6593,99,457,0
6605,1,548,585
6614,1,547,498
6624,7,529,0
6652,1,411,450
6658,1,581,229
6684,4,496,166
6700,1,547,166
6710,1,567,38
6718,7,550,0
6721,7,604,0
6730,1,475,377
6733,1,569,494
6752,7,604,0
6759,7,458,0
6772,6,476,442
6773,1,411,15
6782,1,581,542
6800,1,423,401
6802,1,548,516
6804,7,550,0
6818,1,496,91
6819,6,606,211
6830,1,439,325
6835,1,568,169
6848,7,476,0
6857,6,411,146
6861,6,412,387
6864,1,582,595
6873,99,457,0
6892,1,548,395
6905,6,497,498
6916,1,497,565
6922,7,581,0
6931,7,458,0
6933,99,476,0
6949,1,457,196
6954,4,581,351
6966,6,477,78
7009,1,497,582
7022,7,567,0
7066,6,604,0
7068,7,497,0
7071,6,569,382
7090,1,438,387
7099,1,567,605
7113,1,477,278
7119,7,547,0
7163,6,582,0
7173,6,606,265
7181,1,595,584
7184,7,497,0
7203,7,458,0
7204,7,569,0
7210,7,568,0
7215,6,477,0
7220,1,422,460
7233,1,569,454
7235,1,422,409
7258,6,438,585
7267,1,547,552
7271,7,438,0
7272,1,606,482
7277,7,547,0
7284,99,458,0
7338,4,511,166
7349,6,549,0
7351,1,568,257
7362,6,547,604
7372,7,606,0
7378,6,411,595
7379,1,582,314
7380,6,476,337
7383,99,403,0
7386,1,550,163
7397,99,568,0
7407,1,547,312
7424,7,404,0
7434,6,457,435
7436,1,529,398
7444,1,423,278
7453,7,582,0
7456,1,403,452
7469,1,547,166
7477,6,549,0
7481,99,422,0
7493,6,476,386
7498,7,549,0
7503,1,476,196
7511,1,403,156
7520,1,594,360
7534,7,594,0
7537,7,566,0
7548,6,511,495
7556,4,547,354
7561,6,422,409
7572,7,568,0
7589,6,582,136
7599,6,477,106
7635,1,547,257
7661,1,568,138
7664,1,550,534
7671,1,550,485
7690,7,566,0
7692,6,549,123
7694,1,411,161
7720,1,569,345
7731,1,458,398
7733,6,457,396
7736,1,496,503
7737,1,547,418
7749,1,439,499
7763,1,457,147
7767,1,604,528
7779,7,496,0
7781,6,604,0
7793,1,496,196
7797,7,568,0
7800,1,458,34
7812,7,548,0
7814,1,411,323
7828,7,439,0
7837,1,458,353
7853,7,477,0
7867,6,457,590
7878,4,569,166
7887,1,457,566
7899,6,529,602
7908,7,423,0
7914,6,511,0
7945,1,457,383
7947,7,604,0
7950,6,475,584
7992,7,411,0
7997,7,549,0
8008,6,477,0
8022,7,476,0
8024,1,581,566
8025,6,583,0
8028,1,423,387
8048,1,595,593
8053,1,477,5
8056,1,439,578
8083,1,439,161
8090,7,569,0
8099,99,604,0
8132,6,497,116
8140,1,438,458
8174,1,477,366
8184,6,458,452
8198,1,547,502
8208,1,595,69
8228,1,457,479
8232,1,568,251
8249,1,439,124
8254,6,567,280
8255,7,411,0
8256,7,476,0
8260,7,411,0
8263,1,477,108
8269,1,549,157
8273,6,477,0
8288,99,529,0
8302,7,410,0
8303,7,496,0
8304,99,438,0
8309,7,549,0
8316,1,581,191
8317,7,547,0
8329,1,458,561
8343,7,457,0
8354,1,437,230
8367,1,567,463
8379,7,566,0
8394,6,458,607
8397,6,549,0
8420,7,458,0
8421,7,458,0
8422,1,458,205
8434,6,595,0
8435,1,497,72
8452,1,582,340
8468,6,566,204
8469,7,439,0
8481,1,496,397
8490,7,403,0
8491,6,581,341
8516,1,404,279
8532,7,411,0
8535,6,208,0
8569,1,164,207
8582,1,231,289
8584,1,232,161
8585,6,254,205
8618,7,233,0
8622,6,185,343
8642,1,234,363
8655,7,183,0
8660,1,210,181
8662,99,232,0
8684,7,210,0
8689,7,232,0
8691,1,254,271
8704,6,186,0
8707,1,254,297
8712,1,235,276
8722,6,164,165
8737,99,184,0
8741,7,210,0
8781,1,254,271
8790,6,210,0
8795,7,129,0
8801,7,164,0
8815,6,255,145
8816,1,209,127
8824,6,184,0
8829,7,185,0
8885,1,256,62
8916,7,254,0
8927,6,129,205
8931,6,231,253
8948,7,234,0
8955,6,234,404
8966,6,186,162
8968,7,209,0
8971,6,209,19
8980,7,231,0
9022,1,183,208
9028,7,186,0
9044,7,231,0
9047,7,183,0
9051,7,209,0
9062,1,255,429
9067,1,277,251
9071,6,184,355
9080,1,232,319
9082,6,233,127
9087,7,207,0
9105,1,232,47
9155,1,165,539
9165,7,184,0
9166,6,254,0
9173,7,207,0
9174,7,235,0
9175,6,231,377
9176,6,235,271
9188,6,231,253
9192,1,183,163
9205,1,277,514
9233,1,231,386
9238,1,207,271
9246,6,234,0
9256,6,164,146
9258,1,210,253
9262,99,185,0
9278,1,255,310
9310,1,184,297
9328,7,185,0
9335,7,186,0
9339,7,254,0
9345,6,183,145
9349,6,235,168
9364,1,207,393
9376,1,234,162
9384,1,277,138
9389,7,183,0
9390,1,165,473
9395,1,206,184
9402,7,231,0
9405,6,234,0
9413,1,233,254
9421,6,184,0
9434,1,182,162
9442,1,232,284
9444,1,234,439
9466,6,232,264
9468,6,210,0
9469,7,231,0
9499,6,183,0
9500,4,164,166
9502,1,254,229
9509,6,210,0
9512,1,165,393
9513,6,235,184
9520,7,183,0
9529,1,235,288
9543,6,210,219
9545,6,186,429
9557,6,235,602
9567,6,146,124
9572,6,254,0
9584,6,166,128
9595,7,184,0
9614,7,277,0
9616,1,235,203
9666,7,255,0
9669,6,166,0
9715,1,183,331
9723,7,165,0
9725,6,254,106
9729,7,234,0
9740,6,164,278
9750,6,232,78
9752,6,129,0
9760,7,146,0
9768,7,255,0
9791,6,183,0
9809,6,208,95
9821,1,235,312
9828,6,254,120
9845,1,255,299
9851,1,209,210
9854,6,208,377
9855,7,184,0
9866,1,146,230
9879,1,207,169
9888,6,209,233
9899,7,186,0
9900,4,235,166
9901,1,234,300
9905,1,255,278
9926,1,231,458
9932,1,233,253
9951,1,254,278
9960,1,234,377
9964,4,234,388
9969,1,207,254
9974,4,254,166
9984,1,184,233
9997,1,163,162
9999,4,254,166
10016,1,207,122
10027,1,207,254
10032,1,185,396
10045,1,145,512
10046,1,165,243
10052,1,209,233
10053,1,206,339
10056,6,255,234
10063,6,163,0
10091,7,255,0
10094,1,108,273
10123,1,254,421
10132,6,164,0
10169,6,233,0
10181,6,147,275
10191,1,255,367
10194,1,232,523
10198,7,209,0
10208,6,254,606
10216,1,210,308
10228,6,233,157
10241,6,255,0
10249,7,209,0
10254,6,164,0
10262,6,146,101
10269,6,166,0
10270,1,164,119
10271,6,209,121
10306,1,235,493
10325,1,164,519
10333,1,210,166
10354,7,186,0
10359,6,210,0
10364,7,162,0
10365,6,166,0
10383,6,164,420
10387,4,234,388
10417,1,254,506
10418,6,165,0
10430,4,184,388
10431,1,129,110
10440,1,254,221
10462,1,148,548
10470,1,235,183
10477,7,233,0
10489,6,210,122
10492,1,254,101
10500,6,234,0
10508,7,207,0
10522,6,183,128
10544,6,234,0
10555,1,210,385
10559,7,164,0
10563,1,210,434
10585,6,233,0
10587,7,164,0
10597,1,232,468
10599,7,255,0
10615,1,235,162
10618,6,164,162
10620,6,233,0
10632,7,255,0
10641,7,208,0
10644,4,184,388
10655,1,210,110
10662,1,166,208
10664,1,166,181
10680,7,185,0
10705,6,164,0
10714,7,235,0
10716,7,208,0
10722,1,164,121
10727,7,184,0
10743,7,164,0
10745,1,254,145
10748,1,186,60
10753,1,277,498
10754,7,165,0
10755,7,209,0
10769,7,254,0
10788,6,207,235
10809,6,234,594
10814,4,186,166
10823,1,233,351
10826,4,165,388
10838,7,232,0
10839,6,254,0
10845,6,147,396
10848,1,234,430
10858,1,209,577
10864,1,234,297
10869,1,207,167
10879,7,206,0
10894,7,234,0
10897,1,108,301
10911,6,207,362
10912,7,206,0
10913,7,166,0
10928,6,235,0
10937,6,235,555
10950,6,254,375
10967,6,255,24
10976,1,209,68
10980,6,207,379
11004,7,207,0
11009,7,186,0
11014,1,277,252
11015,6,166,494
11029,1,235,100
11031,1,255,558
11034,7,209,0
11039,1,254,232
11054,1,209,254
11057,6,185,382
11059,7,181,0
11070,1,254,577
11071,6,234,186
11075,6,210,455
11077,6,232,597
11088,7,184,0
11115,6,166,51
11121,6,183,102
11125,6,207,273
11129,1,164,121
11146,7,231,0
11147,1,146,450
11154,1,183,145
11156,6,210,0
11165,1,210,301
11170,99,129,0
11198,6,256,185
11201,1,235,206
11203,6,164,92
11206,7,164,0
11230,1,163,360
11261,6,231,99
11274,7,185,0
11367,1,256,289
11372,6,232,65
11378,1,255,87
11386,7,235,0
11400,6,234,210
11431,1,232,118
11443,6,209,0
11455,1,184,206
11459,7,108,0
11483,6,254,0
11484,6,210,0
11503,6,184,343
11508,7,232,0
11509,1,231,280
11536,4,184,166
11542,1,165,210
11549,7,254,0
11554,1,186,371
11565,6,233,256
11573,7,166,0
11575,6,207,312
11579,6,210,0
11604,1,185,184
11631,99,209,0
11643,1,233,234
11644,7,185,0
11661,7,210,0
11677,6,234,393
11698,7,163,0
11699,1,235,596
11702,1,183,122
11712,1,209,157
11714,6,146,396
11725,1,209,4
11736,1,184,401
11751,6,231,403
11763,1,207,183
11766,1,146,300
11777,1,234,280
11780,4,233,166
11781,6,209,0
11784,1,234,226
11805,7,185,0
11822,1,254,230
11839,6,210,379
11844,6,234,0
11858,7,164,0
11868,6,185,461
11872,1,256,533
11877,1,255,139
11894,1,164,278
11899,1,183,198
11900,1,166,279
11906,7,184,0
11936,6,233,0
11938,6,235,483
11957,1,129,297
11964,1,234,344
11985,99,210,0
11991,1,254,196
12034,99,183,0
12057,1,165,409
12058,6,184,82
12064,6,254,0
12070,1,166,494
12077,6,232,193
12081,1,209,342
12083,6,184,0
12084,1,231,89
12093,7,232,0
12106,6,254,255
12107,6,165,0
12112,7,233,0
12121,6,235,0
12130,1,233,196
12137,6,233,0
12144,1,233,278
12163,6,254,395
12169,7,235,0
12175,7,235,0
12222,1,164,233
12226,7,184,0
12242,1,232,355
12263,6,207,0
12272,6,235,0
12293,1,164,525
12307,6,207,0
12309,6,185,0
12312,1,165,383
12320,6,232,142
12327,6,210,0
12333,7,165,0
12345,99,164,0
12356,1,163,297
12391,6,254,339
12399,7,254,0
12429,7,254,0
12433,6,146,346
12453,6,185,106
12462,1,209,127
12469,7,255,0
12490,1,233,141
12497,7,208,0
12509,4,254,388
12521,1,234,257
12540,6,234,0
12542,4,254,388
12552,7,185,0
12572,6,254,230
12587,1,166,230
12603,6,129,277
12608,99,184,0
12622,6,210,181
12625,1,210,261
12630,1,210,344
12633,1,208,321
12639,6,185,327
12645,6,234,0
12647,1,165,462
12663,1,185,232
12671,1,256,30
12675,1,183,364
12680,7,231,0
12684,6,185,0
12689,1,210,185
12690,1,207,400
12695,6,235,400
12704,1,277,435
12716,6,233,0
12717,1,185,211
12719,1,233,166
12722,4,234,388
12731,7,210,0
12737,6,210,0
12746,1,164,183
12747,1,209,364
12768,7,231,0
12770,1,277,393
12782,6,234,0
12798,1,209,68
12799,1,184,264
12806,6,163,339
12807,6,233,0
12809,6,164,0
12811,6,235,147
12819,7,183,0
12830,1,255,556
12880,6,185,221
12884,6,208,445
12890,6,255,328
12899,7,233,0
12905,1,209,518
12906,6,232,255
12911,7,165,0
12921,1,231,256
12922,7,232,0
12923,6,256,146
12934,99,254,0
12940,6,210,509
12944,1,208,125
12964,1,231,147
12988,6,232,371
13009,6,183,403
13043,1,210,279
13045,7,256,0
13048,6,234,0
13051,6,184,187
13106,6,234,0
13114,6,256,480
13116,1,185,4
13119,1,254,532
13131,7,235,0
13133,1,183,30
13150,7,164,0
13153,7,208,0
13160,6,232,595
13190,7,255,0
13195,6,254,0
13196,4,184,388
13205,1,183,62
13255,6,234,391
13264,6,232,278
13265,6,235,0
13271,1,183,229
13276,6,206,0
13281,1,231,351
13318,1,231,126
13324,1,164,291
13336,6,209,0
13368,7,148,0
13369,1,210,219
13374,1,209,302
13399,1,164,166
13401,6,231,206
13409,7,231,0
13426,1,208,597
13427,1,185,164
13452,7,185,0
13460,7,165,0
13463,1,256,355
13485,1,165,417
13493,1,234,233
13494,1,186,279
13498,6,184,0
13499,1,255,341
13500,6,234,0
13512,7,146,0
13518,6,234,295
13543,4,185,354
13544,6,186,363
13549,7,277,0
13556,6,254,0
13559,99,256,0
13562,1,254,419
13565,6,232,244
13570,1,234,51
13575,1,210,334
13583,1,184,277
13590,1,185,301
13601,1,231,144
13611,1,235,272
13624,1,232,257
13632,99,207,0
13658,6,184,320
13665,7,235,0
13682,1,208,328
13690,1,185,96
13714,6,233,0
13718,1,254,319
13727,6,235,496
13745,1,255,339
13750,1,233,196
13782,6,233,251
13799,1,183,318
13820,1,234,108
13837,6,163,0
13867,6,210,147
13907,4,232,166
13910,7,210,0
13914,7,235,0
13928,7,232,0
13929,1,231,552
13931,6,163,100
13938,6,234,278
13944,1,129,346
13947,6,234,0
13952,1,254,323
13970,1,209,221
13973,1,209,89
13988,1,254,444
13992,6,255,0
13996,7,232,0
13997,1,255,278
14010,1,185,347
14013,6,254,0
14027,1,183,208
14035,1,210,209
14039,1,209,254
14047,1,254,597
14057,7,185,0
14078,7,277,0
14080,7,164,0
14086,7,185,0
14095,6,231,80
14096,6,234,150
14100,1,233,252
14101,7,166,0
14110,1,186,253
14121,1,165,236
14126,1,232,280
14132,6,207,383
14138,7,254,0
14176,6,166,168
14199,6,208,128
14210,7,254,0
14220,6,207,0
14226,1,254,128
14228,6,108,513
14233,4,209,166
14236,1,164,146
14243,1,234,323
14265,6,232,0
14276,1,207,232
14287,1,255,321
14290,1,254,265
14300,6,164,0
14323,6,184,369
14330,1,234,195
14336,1,255,220
14339,6,231,0
14343,1,165,204
14363,1,235,232
14370,6,209,234
14393,7,234,0
14396,1,231,232
14407,6,183,235
14432,6,183,0
14443,6,184,567
14446,6,207,0
14460,99,232,0
14465,7,209,0
14469,6,207,278
14482,7,186,0
14483,1,164,196
14484,6,209,254
14486,1,231,276
14491,1,165,361
14492,1,235,268
14493,1,235,392
14505,1,254,314
14516,6,254,608
14520,1,255,206
14533,6,277,276
14535,7,255,0
14541,4,254,388
14543,6,233,229
14545,7,146,0
14571,7,185,0
14572,1,232,226
14583,1,255,241
14584,6,186,165
14600,6,235,128
14608,1,235,115
14614,1,165,323
14631,6,147,424
14634,6,182,162
14643,1,254,319
14650,6,165,0
14663,1,232,525
14666,1,146,79
14674,7,254,0
14680,1,255,196
14682,1,255,302
14684,7,232,0
14688,7,186,0
14691,6,181,263
14694,1,165,162
14722,7,185,0
14723,6,232,257
14744,1,164,98
14746,6,232,297
14749,6,208,0
14780,1,234,306
14784,1,209,431
14791,6,207,0
14808,6,209,181
14816,1,164,301
14827,6,129,398
14848,6,146,577
14855,6,164,592
14868,7,166,0
14871,6,163,78
14912,1,165,257
14925,1,235,563
14948,1,183,158
15012,6,185,181
15041,6,255,202
15044,7,232,0
15058,6,231,0
15088,1,207,536
15104,6,235,342
15105,6,163,450
15120,7,209,0
15137,1,164,148
15142,1,235,54
15145,1,163,400
15156,1,182,272
15161,1,209,278
15162,6,164,0
15170,6,208,0
15190,7,163,0
15199,7,148,0
15204,6,231,421
15205,7,254,0
15244,6,207,120
15263,1,184,402
15271,6,254,0
15294,1,209,165
15303,1,277,271
15304,6,207,0
15330,1,208,300
15331,7,233,0
15348,6,234,0
15353,7,147,0
15374,7,210,0
15385,7,165,0
15396,6,254,235
15401,6,185,255
15404,6,164,76
15405,7,208,0
15432,1,231,363
15449,1,232,19
15462,1,234,240
15463,7,164,0
15473,6,146,0
15483,7,254,0
15494,1,233,592
15504,99,185,0
15518,6,165,186
15526,1,234,38
15529,1,208,556
15536,1,256,256
15553,6,254,449
15555,7,231,0
15562,1,232,233
15581,1,165,133
15595,1,185,229
15603,1,232,205
15606,7,233,0
15614,1,231,127
15616,1,186,166
15625,6,254,0
15651,6,185,144
15665,7,184,0
15685,6,233,0
15692,7,183,0
15695,4,209,388
15706,7,208,0
15713,6,235,162
15751,7,235,0
15757,7,183,0
15763,6,255,530
15775,6,164,0
15780,6,231,0
